objectName,type,x1,y1,dx,dy,file,label,scale
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1EC910>,RectROI,26.970387243735765,8.765375854214122,56.63781321184511,51.91799544419135,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1EC9B0>,RectROI,130.80637813211845,83.60820045558087,58.66059225512527,55.28929384965831,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1EC730>,RectROI,55.28929384965832,238.6879271070615,60.00911161731207,55.28929384965829,region10002_Z.jpg,9AP (S),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1EC690>,RectROI,355.3348519362187,235.990888382688,57.31207289293849,61.35763097949885,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ECE10>,RectROI,426.13211845102506,280.4920273348519,55.28929384965829,49.89521640091118,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ECEB0>,RectROI,243.4077448747153,337.80410022779046,68.10022779043283,57.98633257403185,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED090>,RectROI,167.21640091116174,390.3963553530752,64.72892938496582,56.63781321184507,region10002_Z.jpg,9AP (S),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED130>,RectROI,478.0501138952164,390.3963553530752,57.31207289293849,56.63781321184507,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED1D0>,RectROI,447.03416856492026,353.9863325740319,48.5466970387244,49.89521640091112,region10002_Z.jpg,9AP (S),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED270>,RectROI,542.1047835990888,356.00911161731204,53.26651480637816,53.94077448747157,region10002_Z.jpg,9AP (R),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED310>,RectROI,268.35535307517085,65.40318906605923,56.63781321184507,50.56947608200456,region10002_Z.jpg,9AP (S),0.0253378378378378
<ui.PyQtImageViewer.QtImageViewer.RectROI object at 0x0000020ECB1ED3B0>,RectROI,480.74715261959,494.2323462414578,57.31207289293843,54.61503416856493,region10002_Z.jpg,9AP (S),0.0253378378378378
