Filename,Channel,Modifications,Dimensions,Pixel Scale X (nm),Pixel Scale Y (nm)
area10001_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",208 x 208,0.24038461538461536,0.24038461538461536
area10002_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area10003_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area10004_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area10005_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area10006_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area10007_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area20001_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",304 x 304,0.1644736842105263,0.1644736842105263
area20002_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.025,0.025
area20003_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",304 x 304,0.13157894736842105,0.13157894736842105
area20004_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",304 x 304,0.09868421052631578,0.09868421052631578
area20005_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",304 x 304,0.09868421052631578,0.09868421052631578
area20006_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.075,0.075
area20007_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0425,0.0425
area20008_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0425,0.0425
area20009_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.034274193548387094,0.034274193548387094
area20010_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.030241935483870965,0.030241935483870965
area20011_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.06249999999999999,0.06249999999999999
area20012_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.030241935483870965,0.030241935483870965
area20013_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.012096774193548387,0.012096774193548387
area20014_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.04032258064516129,0.04032258064516129
area20015_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.04032258064516129,0.04032258064516129
area20016_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.04032258064516129,0.04032258064516129
area20017_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",496 x 496,0.04032258064516129,0.04032258064516129
area20018_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20019_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20020_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20021_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20022_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20023_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.025,0.025
area20024_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20025_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20026_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20027_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.017499999999999998,0.017499999999999998
area20028_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area20029_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20030_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20031_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20032_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20033_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20034_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20035_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20036_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20037_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20038_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20039_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20040_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20041_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.022499999999999996,0.022499999999999996
area20042_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.0375,0.0375
area20043_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.05,0.05
area20044_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20045_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
area20046_Z.jpg,Z,"Correct Plane, Gaussian, Sharpen",400 x 400,0.015,0.015
